SNo,HOTEL NAME,CITIES,LOCATION,NUMBER OF REVIEWS,USER RATINGS,STAR RATING,REVIEW SCORE
4472,The Aston Tavern,Birmingham,Birmingham,230 reviews,8.8,1,Fabulous
4473,"Birmingham Garnet, 3 bedroom Apartment",Birmingham,"The Westside, Birmingham",16 reviews,7.9,4,Good
4474,Comfy Birmingham City Center Apartment at Inge Street By HF Group,Birmingham,"Gay Village Birmingham, Birmingham",59 reviews,7.4,4,Good
4475,No.8 Waterloo Street,Birmingham,"Business District, Birmingham",586 reviews,8.7,5,Fabulous
4476,Mica Point City Centre Apartment,Birmingham,"Birmingham City Centre, Birmingham",707 reviews,8.4,5,Very good
4477,Masters Room,Birmingham,"Birmingham City Centre, Birmingham",,,2,
4478,Sutton Coldfield Apartment,Birmingham,Birmingham,23 reviews,7.7,5,Good
4479,Birmingham Emerald 2 bedroom Apartment,Birmingham,"The Westside, Birmingham",,,1,
4480,Barons Place,Birmingham,Birmingham,3 reviews,8.3,2,Very good
4481,New 1 Bed 1 Bath Apartment in Cool Digbeth,Birmingham,"Digbeth, Birmingham",,,4,
4482,Homely City House in Birmingham Central B5,Birmingham,Birmingham,,,1,
4483,Queens b n b,Birmingham,Birmingham,116 reviews,6.4,1,Review score
4484,"Johal Accommodation Ltd-BHX, NEC Studio Apartment with FREE parking",Birmingham,Birmingham,4 reviews,6.2,2,Review score
4485,Nice Living Serviced Accommodations 6,Birmingham,Birmingham,38 reviews,6.7,3,Review score
4486,"Centenary Plaza Apartament,Holiday Street,B11TB",Birmingham,"The Westside, Birmingham",9 reviews,3.3,4,Review score
4487,Westminster House - Contractors/Families,Birmingham,Birmingham,2 reviews,9.5,1,Exceptional
4488,Ladywell House Suites - Chinatown - Self Check-in,Birmingham,"Birmingham Shopping District, Birmingham","1,224 reviews",7.5,1,Good
4489,Premium ArcadianPlus One Bed Apart - Sofa Bed - Balcony - Brand New!,Birmingham,"Birmingham Shopping District, Birmingham",4 reviews,7.5,4,Good
4490,Moseley Village Apartments,Birmingham,Birmingham,19 reviews,9.7,4,Exceptional
4491,Luxury studio apartment near Birmingham citycentre,Birmingham,"Balti Triangle, Birmingham",101 reviews,8.1,5,Very good
4492,Modern One Bedroom Apartment in Jewellery Quarter Birmingham Sleeps 4,Birmingham,"Jewellery Quarter, Birmingham",,,5,
4493,Reach Guest House,Birmingham,Birmingham,118 reviews,7.9,2,Good
4494,Silver Forge - Luxury 2 Bed - 2x En Suite - Siena Suite - Brand New!,Birmingham,"Birmingham City Centre, Birmingham",12 reviews,9.0,1,Superb
4495,Lovely studio apartment located in Birmingham,Birmingham,"Balti Triangle, Birmingham",81 reviews,8.6,2,Fabulous
4496,Beautiful flat Available Next to the City Center,Birmingham,"Jewellery Quarter, Birmingham",27 reviews,6.9,4,Review score
4497,Entire Brand New Serviced Apartment in Moseley,Birmingham,"Balti Triangle, Birmingham",84 reviews,8.4,1,Very good
4498,FABULOUS ROOM,Birmingham,"Birmingham City Centre, Birmingham",,,1,
4499,"Cozy studios available for short term stays 10 mins from the city! Free WIFI &50"" SMART TV's!",Birmingham,Birmingham,34 reviews,7.3,2,Good
4500,Arcadian Aparthotel,Birmingham,"Birmingham Shopping District, Birmingham",376 reviews,7.3,3,Good
4501,Equipped Studios opposite UOB and walking distance to QE in GuestHouse,Birmingham,Birmingham,39 reviews,6.0,4,Review score
4502,Birmingham Great Barr Property Near Junction 7 M6,Birmingham,Birmingham,14 reviews,9.1,1,Superb
4503,Albany house,Birmingham,Birmingham,100 reviews,9.3,1,Superb
4504,Ensuite Room Selly Oak - Milner Road,Birmingham,Birmingham,9 reviews,6.9,4,Review score
4505,Paradise,Birmingham,Birmingham,2 reviews,10,4,Exceptional
4506,Centrally Located Stylish Apartments,Birmingham,Birmingham,43 reviews,5.5,5,Review score
4507,White house,Birmingham,Birmingham,110 reviews,5.6,5,Review score
4508,Frederick property Apartment,Birmingham,"Jewellery Quarter, Birmingham",70 reviews,7.9,2,Good
4509,Home Base: Tranquil Stay in the Heart of Birmingham,Birmingham,Birmingham,6 reviews,6.0,5,Review score
4510,3 Bedroom House in Birmingham with Free Parking,Birmingham,Birmingham,4 reviews,9.2,1,Superb
4511,Mannie Place,Birmingham,"Birmingham City Centre, Birmingham",1 review,10,2,Exceptional
4512,Hotel 5 Ravenhurst Drive M6 J7,Birmingham,Birmingham,46 reviews,7.5,4,Good
4513,"Dusk House; Luxe/Modern Townhouse, B'ham JQ",Birmingham,"Jewellery Quarter, Birmingham",3 reviews,10,1,Exceptional
4514,Cozy self contained apartment,Birmingham,Birmingham,65 reviews,7.4,1,Good
4515,Luxury Flat in Moseley with Free Parking,Birmingham,"Balti Triangle, Birmingham",23 reviews,8.5,2,Very good
4516,Beautiful Spacious - 2 Bedroom Apartment on Broad Street,Birmingham,"The Westside, Birmingham",20 reviews,9.5,3,Exceptional
4517,Charde Guest House,Birmingham,Birmingham,562 reviews,6.1,4,Review score
4518,"3 bedroom Holiday House,close to M6-Express way to centre",Birmingham,Birmingham,15 reviews,7.5,1,Good
4519,U & Me,Birmingham,"Birmingham City Centre, Birmingham",18 reviews,8.7,4,Fabulous
4520,Industrial Style Pad Near B City,Birmingham,Birmingham,3 reviews,10,4,Exceptional
4521,New York loft,Birmingham,Birmingham,2 reviews,5.0,5,Review score
4522,QUEEN HOUSE HOLIDAY HOME,Birmingham,Birmingham,1 review,8.0,5,Very good
4523,Modern city flat hourly stay available*,Birmingham,Birmingham,4 reviews,6.2,2,Review score
4524,Stunning Central House By PureStay Short Lets & Serviced Accommodation Birmingham,Birmingham,"Jewellery Quarter, Birmingham",1 review,10,5,Exceptional
4525,"Entire flat, 2 bedroom & 2 bathrooms in Birmingham",Birmingham,"Convention Quarter, Birmingham",29 reviews,5.5,1,Review score
4526,Beautiful 2-Bed Apartment in Birmingham West Midla,Birmingham,Birmingham,,,2,
4527,"City Road Birmingham Apartments from 360Midlands, en-suite",Birmingham,Birmingham,35 reviews,7.2,4,Good
4528,Valentines,Birmingham,Birmingham,20 reviews,3.2,1,Review score
4529,Luxury 2 Bed Penthouse - 4K Projector - Snug Room - En Suite,Birmingham,"Birmingham City Centre, Birmingham",2 reviews,4.5,2,Review score
4530,Luxury Apartment With Parking Bullring China town,Birmingham,"Birmingham Shopping District, Birmingham",3 reviews,7.0,3,Good
4531,Aspen Place,Birmingham,"Birmingham City Centre, Birmingham",,,4,
4532,Newly Renevated Historic 1 Bedroom Apartment - Jewellery Quarter Central Birmingham,Birmingham,"Jewellery Quarter, Birmingham",22 reviews,6.0,1,Review score
4533,Spacious 2 Bedroom Home in Birmingham,Birmingham,Birmingham,31 reviews,8.6,1,Fabulous
4534,Vibrant & Modern studio apartment in Birmingham,Birmingham,"Balti Triangle, Birmingham",32 reviews,8.0,4,Very good
4535,2 Beds Apartment in Birmingham City Centre,Birmingham,"Convention Quarter, Birmingham",10 reviews,8.6,4,Fabulous
4536,Birmingham Garnet 3 bedroom Apartment,Birmingham,"The Westside, Birmingham",1 review,10,5,Exceptional
4537,Emerald Studio Suite Near QE/UOB,Birmingham,Birmingham,3 reviews,10,5,Exceptional
4538,BANK,Birmingham,Birmingham,,,2,
4539,Clover Spa and Hotel,Birmingham,Birmingham,60 reviews,8.3,5,Very good
4540,Digbeth Luxury Apartment,Birmingham,"Digbeth, Birmingham",1 review,5.0,1,Review score
4541,KCS Broad Street Apartment Birmingham,Birmingham,"Convention Quarter, Birmingham",16 reviews,9.5,2,Exceptional
4542,1 Bed Apartment New A,Birmingham,Birmingham,37 reviews,7.5,4,Good
4543,Entire Appartment Near Birmingham city,Birmingham,"Birmingham City Centre, Birmingham",1 review,4.0,1,Review score
4544,Emerald Suite - 2 Bedroom Duplex Sleeps 6,Birmingham,Birmingham,3 reviews,9.3,2,Superb
4545,Beautiful 3 bedroom house,Birmingham,Birmingham,25 reviews,7.5,3,Good
4546,Happy dream,Birmingham,Birmingham,3 reviews,8.3,4,Very good
4547,"Spacious 1 bed Apartment with workspace, unlimited coffee & FREE Parking",Birmingham,"Gay Village Birmingham, Birmingham",95 reviews,9.1,1,Superb
4548,Exceptional 1King Lifestyle Apartment - Centrally located,Birmingham,"Birmingham Shopping District, Birmingham",25 reviews,9.3,1,Superb
4549,2bedroom Modern Apartment in the city centre,Birmingham,Birmingham,19 reviews,8.1,4,Very good
4550,Luxe City Centre,Birmingham,"Jewellery Quarter, Birmingham",7 reviews,7.1,4,Good
4551,Priory Road,Birmingham,Birmingham,14 reviews,5.4,5,Review score
4552,FREE PARKING Cosy Studios in Guesthouse close to city and QE Hospital,Birmingham,Birmingham,42 reviews,7.1,5,Good
4553,"Cosy, Modern Home Near BHX, NEC and City Centre",Birmingham,Birmingham,35 reviews,8.5,2,Very good
4554,Tropical Garden Oasis Rooms,Birmingham,Birmingham,101 reviews,7.5,5,Good
4555,Cozy 2 Bedroom Apartment near NEC / Birmingham Airport/ City Centre,Birmingham,Birmingham,1 review,10,1,Exceptional
4556,Birmingham Amethyst 3 bedroom Apartment,Birmingham,"The Westside, Birmingham",5 reviews,8.0,2,Very good
4557,Madison house,Birmingham,"Gay Village Birmingham, Birmingham",14 reviews,7.8,4,Good
4558,"My new street apartment, Birmingham",Birmingham,"Business District, Birmingham",2 reviews,9.0,1,Superb
4559,Swansea house,Birmingham,Birmingham,104 reviews,7.6,1,Good
4560,Tri-Star Hotel,Birmingham,Birmingham,290 reviews,8.6,2,Fabulous
4561,Fabulous 2 Bedroom apartment in City Center,Birmingham,Birmingham,,,3,
4562,21 Frederick Street Apartment,Birmingham,"Jewellery Quarter, Birmingham",60 reviews,7.9,4,Good
4563,City Centre Luxury Silver Forge - Two Bedroom Apartment with Office - Brand New,Birmingham,"Birmingham City Centre, Birmingham",15 reviews,7.4,1,Good
4564,"Cosy home near NEC, BHX Bullring & Solihull",Birmingham,Birmingham,45 reviews,8.5,1,Very good
4565,Spacious 2 bed house with free on street parking,Birmingham,Birmingham,14 reviews,7.2,4,Good
4566,Cosy 2 bedroom apartment by One Choice Stays Serviced Accommodation Birmingham - City Centre - Wifi,Birmingham,"Birmingham City Centre, Birmingham",33 reviews,6.5,4,Review score
4567,Contemporary Modern Studio Apartment - City Centre,Birmingham,"Convention Quarter, Birmingham",22 reviews,7.8,5,Good
4568,"Chic Studio Oasis, West Midlands!",Birmingham,"Edgbaston, Birmingham",41 reviews,5.9,5,Review score
4569,Jacuzzi Getaway with Sauna and Super King Bed,Birmingham,Birmingham,2 reviews,6.5,5,Review score
4570,"Comfy, modern studio with Netflix",Birmingham,"Edgbaston, Birmingham",45 reviews,6.0,1,Review score
4571,Malavia Properties,Birmingham,"Jewellery Quarter, Birmingham",15 reviews,7.7,2,Good
4572,Modern 1 Bed Apt - B'ham City Centre and Jewellery Qtr,Birmingham,Birmingham,8 reviews,8.3,4,Very good
4573,Comfortable one bed flat,Birmingham,"Edgbaston, Birmingham",38 reviews,7.6,1,Good
4574,"Cosy Entire Apartment 5 min to City Centre! FREE PARKING, Smart TV Sleeps 3-4",Birmingham,"Edgbaston, Birmingham",12 reviews,7.3,1,Good
4575,Beautifully renovated four bedroom property,Birmingham,Birmingham,38 reviews,8.4,2,Very good
4576,Birmingham Ruby 2 bedroom Apartment,Birmingham,"The Westside, Birmingham",4 reviews,9.7,3,Exceptional
4577,Stylish Birmingham City Centre Apart W/Balcony,Birmingham,"The Westside, Birmingham",56 reviews,5.4,4,Review score
4578,Arcadian Centre - Sienna One Bed - Sofa Bed - Balcony,Birmingham,"Birmingham Shopping District, Birmingham",5 reviews,7.6,1,Good
4579,Remarkable 1-Bed Studio in Birmingham,Birmingham,Birmingham,,,1,
4580,Spacious 3-bedroom home in Birmingham with driveway parking,Birmingham,Birmingham,47 reviews,8.4,4,Very good
4581,Aqua-Themed 2 Bedroom Cosy Apartment - City Centre,Birmingham,"Birmingham City Centre, Birmingham",46 reviews,8.5,4,Very good
4582,Beautiful 1-Bed studio Lickey Hills Birmingham,Birmingham,Birmingham,17 reviews,8.4,5,Very good
4583,Tudors eSuites Four Bedroom House,Birmingham,Birmingham,4 external reviews,Good 7.5,5,
4584,Tudors eSuites Four Bedroom House,Birmingham,Birmingham,,,2,
4585,Stunning 3-Bed Home near City Centre Chic Comfort,Birmingham,Birmingham,,,5,
4586,5-bedroom Townhouse In Jewellery Quarter,Birmingham,"Jewellery Quarter, Birmingham",,,1,
4587,"Cosy 2 Bed Flat, next to City Centre with Parking!",Birmingham,"Jewellery Quarter, Birmingham",3 external reviews,Exceptional 10,2,
4588,Lola,Birmingham,Birmingham,,,4,
4589,Luxury City Centre Apartment With Underground Parking,Birmingham,"Birmingham Shopping District, Birmingham",2 reviews,7.5,1,Good
4590,Tropical Paradise B'ham City Ctr,Birmingham,Birmingham,,,2,
4591,Cosy 3BR Home Close to Villa Park Castle Bromwich off the M6,Birmingham,Birmingham,3 reviews,7.3,3,Good
4592,"Charming 3-Bedroom Home in Stechford, Birmingham",Birmingham,Birmingham,1 review,4.0,4,Review score
4593,Super Luxury 2 Bedroom Apartment In Birmingham City Center,Birmingham,"Jewellery Quarter, Birmingham",4 reviews,9.7,1,Exceptional
4594,Chic City Retreat - Comfy & Centrally Located,Birmingham,"Birmingham City Centre, Birmingham",4 reviews,5.2,4,Review score
4595,Fantastic semi - detached 4 bedroom house,Birmingham,Birmingham,3 reviews,8.3,4,Very good
4596,Alder House,Birmingham,Birmingham,2 reviews,10,5,Exceptional
4597,APPARTMENT one bedroom,Birmingham,"Balti Triangle, Birmingham",,,5,
4598,2 Bed 2 Bath Ensuite - FREE secure parking,Birmingham,Birmingham,2 reviews,5.5,2,Review score
4599,Midlands Haven - Upscale Serenity Near the City,Birmingham,"Birmingham City Centre, Birmingham",2 reviews,1.5,5,Review score
4600,"Chic Midlands Getaway - Explore, Relax and Revel",Birmingham,"Edgbaston, Birmingham",,,1,
4601,Cosy 1 bed - Heart of Birmingham,Birmingham,"Digbeth, Birmingham",3 reviews,8.0,2,Very good
4602,Stodio flat,Birmingham,"Balti Triangle, Birmingham",2 reviews,7.0,4,Good
4603,Studio available close to Queen Elizabeth Hospital,Birmingham,Birmingham,,,1,
4604,Mailbox luxury living,Birmingham,"The Westside, Birmingham",6 reviews,3.7,1,Review score
4605,Home in Birmingham Cosy Stays,Birmingham,Birmingham,22 external reviews,Fabulous 8.9,2,
4606,Spacious 2 bed apartment in central Mablethorpe,Birmingham,Birmingham,,,3,
4607,Luxury 9ine Beautiful Broad Street Apartment,Birmingham,"Convention Quarter, Birmingham",33 external reviews,Superb 9.2,4,
4608,Aston Apartment 4,Birmingham,Birmingham,5 reviews,9.6,1,Exceptional
4609,Arcadian Apartment,Birmingham,"Gay Village Birmingham, Birmingham",4 reviews,5.5,1,Review score
4610,Large Studio available on First floor!,Birmingham,Birmingham,,,4,
4611,Beautiful Perry Barr room,Birmingham,Birmingham,,,4,
4612,1 bed apartment with 2 beds 1 double plus 1 single,Birmingham,Birmingham,5 reviews,8.0,5,Very good
4613,"Comfy & Chique Stay - Perfect For Visiting Birminghams Sites, Events & City Centre",Birmingham,Birmingham,8 reviews,9.0,5,Superb
4614,Stunning 3bdr 2ba House With Free Street Parkin,Birmingham,Birmingham,1 review,9.0,2,Superb
4615,1bed Cosy Flat Located in a Busy Area With Lots of Activities,Birmingham,Birmingham,,,5,
4616,Luxury penthouse view apartment,Birmingham,"Birmingham City Centre, Birmingham",,,1,
4617,George Street,Birmingham,Birmingham,10 reviews,6.4,2,Review score
4618,Modern 1-Bed Apartment in Birmingham,Birmingham,"Birmingham City Centre, Birmingham",2 reviews,8.0,4,Very good
4619,EXOTICSTAY Apartments • New Build • Stylish 1-bedroom apartment in the City Centre • WiFi & Netflix • Self Check-in,Birmingham,"Jewellery Quarter, Birmingham",7 reviews,5.0,1,Review score
4620,Super Beautiful Jacuzzi Apartment with Balcony,Birmingham,"The Westside, Birmingham",,,2,
4621,Contemporary 2 bedroom Apartment - Birmingham City Centre - Digbeth Bullring,Birmingham,"Birmingham City Centre, Birmingham",12 reviews,8.1,3,Very good
4622,Lovely 2 Bedroom Apartment- Birmingham City Centre,Birmingham,"Convention Quarter, Birmingham",1 review,10,4,Exceptional
4623,2 Bedroom Apartment - Birmingham city centre,Birmingham,"The Westside, Birmingham",2 reviews,10,1,Exceptional
4624,5 bedroom semi-detached house- 3 double beds - 2 single beds,Birmingham,Birmingham,13 reviews,9.3,1,Superb
4625,Silver Forge - Luxury One Bed with Office - Sofa Bed - City Centre,Birmingham,"Birmingham City Centre, Birmingham",12 reviews,7.8,4,Good
4626,SwankyHome 4 Groups Near M5.,Birmingham,Birmingham,18 reviews,8.4,4,Very good
4627,Stunning 3-Bed House in Birmingham,Birmingham,Birmingham,3 reviews,5.7,5,Review score
4628,Lovely Studio 10 mins from City for Short term,Birmingham,Birmingham,,,5,
4629,City Centre - Luxury 2 Bed - Verde Suite - Brand New,Birmingham,"Birmingham City Centre, Birmingham",4 reviews,5.8,2,Review score
4630,Aparthotel - 4 X 2 Bed Apts -free Parking,Birmingham,Birmingham,9 reviews,7.9,5,Good
4631,Cosy studio close to the university,Birmingham,Birmingham,12 external reviews,Fabulous 8.8,1,
4632,Stunning Studio by QE and UOB!,Birmingham,Birmingham,,,2,
4633,Stylish Studio for short term near UOB and City!,Birmingham,Birmingham,,,4,
4634,1 bedroom studio with microwave and TV & WiFi,Birmingham,Birmingham,1 review,6.0,1,Review score
4635,Amazing studio next to the city,Birmingham,Birmingham,5 external reviews,Exceptional 10,1,
4636,Modern Cute Studio right next to UoB and QE!,Birmingham,Birmingham,,,2,
4637,Charming 3-Bed holiday House in Birmingham,Birmingham,Birmingham,3 reviews,6.0,3,Review score
4638,Onyx Large Spacious Homely Birmingham 3 Bedroom House,Birmingham,Birmingham,6 reviews,5.0,4,Review score
4639,Brand new heart of Birmingham one bedroom,Birmingham,"The Westside, Birmingham",24 reviews,8.0,1,Very good
4640,Heart of Bham Free Parking - Walk to Everything/1 min from New St Station,Birmingham,"The Westside, Birmingham",12 reviews,8.0,1,Very good
4641,One Bedroom Apartment 22a in Springcroft,Birmingham,Birmingham,7 reviews,6.0,4,Review score
4642,One Bedroom Apartment 18a in Springcroft,Birmingham,Birmingham,4 reviews,6.0,4,Review score
4643,Kunda House in Tyseley,Birmingham,Birmingham,2 reviews,9.5,5,Exceptional
4644,SwankyHome 4 Groups/Contractors,Birmingham,Birmingham,9 reviews,8.1,2,Very good
4645,Cosy 3 bed Apt/contractors/families/free parking,Birmingham,"Edgbaston, Birmingham",4 reviews,9.0,5,Superb
4646,Large studio 10 minute train journey to the city!,Birmingham,Birmingham,5 external reviews,Very good 8.4,1,
4647,Lovely homely studio available,Birmingham,Birmingham,4 external reviews,Superb 9.0,2,
4648,studio close to University of Birmingham,Birmingham,Birmingham,,,4,
4649,2 Bed Brand New Prestige Apartment in City Centre,Birmingham,"Birmingham City Centre, Birmingham",3 reviews,1.7,1,Review score
4650,Self contained studios 10 min train ride to city and close to QE!,Birmingham,Birmingham,2 reviews,2.5,1,Review score
4651,"1 Bedroom Apartment, in Birmingham city centre, Chinese quarter",Birmingham,"Gay Village Birmingham, Birmingham",18 reviews,8.3,2,Very good
4652,Convenient 3BR close to QE Hospital & University of Birmingham,Birmingham,Birmingham,2 reviews,8.5,3,Very good
4653,Mason Suite,Birmingham,"Birmingham City Centre, Birmingham",3 reviews,9.0,4,Superb
4654,Equipped studios near QE in GuestHouse 10minute train journey to the city!,Birmingham,Birmingham,11 reviews,5.5,1,Review score
4655,Spacious studios with free fast WIFI and 50inch SMART TV's next to UOB and 10min drive to the City!,Birmingham,Birmingham,26 reviews,6.5,1,Review score
4656,Lovely Studio in Selly Oak 10 mins from city!,Birmingham,Birmingham,,,4,
4657,Ensuite style Studio in Selly Oak,Birmingham,Birmingham,,,4,
4658,Spacious 1-Bed Studio in Birmingham,Birmingham,Birmingham,1 review,5.0,5,Review score
4659,1 Bed Apartment B,Birmingham,Birmingham,14 reviews,7.8,5,Good
4660,2 Bed Apartment New,Birmingham,Birmingham,35 reviews,7.1,2,Good
4661,Onyx Broad Street*The O2* Large Apartment*Staycation*,Birmingham,"Convention Quarter, Birmingham",14 reviews,4.9,5,Review score
4662,Stylish Arcadian Centre - One Bedroom - Large Balcony - Bullring Shopping,Birmingham,"Birmingham Shopping District, Birmingham",5 reviews,6.4,1,Review score
4663,Broadway Mailbox Luxury New 1 Bed Apartment with Free Parking,Birmingham,"Birmingham City Centre, Birmingham",17 reviews,7.6,2,Good
4664,Luxury 6 bedroom entire home will free parking.,Birmingham,Birmingham,38 reviews,7.8,4,Good
4665,3 bedroom home with stunning views and hot tub,Birmingham,Birmingham,13 reviews,8.5,1,Very good
4666,Cosy House #Lea Hall Train Station #BHX #NEC #NIA,Birmingham,Birmingham,21 reviews,8.5,1,Very good
4667,"Melody-2beds 1bath, Chinatown with free parking",Birmingham,"Birmingham Shopping District, Birmingham",11 reviews,7.1,2,Good
4668,Spacious studio near city centre!,Birmingham,Birmingham,1 review,7.0,3,Good
4669,The Moda Mercian - 1 Bedroom Luxury - Cinema - 24 Hour Gym - Sky Lounge - Roof Terrace,Birmingham,"The Westside, Birmingham",7 reviews,7.4,1,Good
4670,Twinckle Twinckle Little Start,Birmingham,"Birmingham Shopping District, Birmingham",25 reviews,6.8,1,Review score
4671,ROTUNDA STUDIO,Birmingham,"Birmingham Shopping District, Birmingham",,,4,
4672,Commonwealth Sweet Spot: Local to Aquatics centre.,Birmingham,Birmingham,,,4,
4673,City Lodge,Birmingham,Birmingham,,,5,
4674,Spacious studios with free fast WIFI and 50inch SMART TV's next to UOB and 10min drive to the City!,Birmingham,Birmingham,34 reviews,6.7,5,Review score
4675,2 bed house/Edgbaston/Families/Contractors/Parking,Birmingham,Birmingham,25 reviews,7.2,2,Good
4676,whats she want-- 2beds 2bath apartment,Birmingham,"The Westside, Birmingham",20 reviews,8.2,5,Very good
4677,"MAEVELA® - Lamborghini Themed Top Floor Penthouse Apt ✯ City Centre w/Juliet Balcony ☆ FREE PARKING → With 55 Inch Smart TV & Bedroom TV's, FREE NETFLIX & WIFI ✘",Birmingham,Birmingham,8 reviews,8.9,1,Fabulous
4678,Luxury Comfort 1 bedroom Suite,Birmingham,"Jewellery Quarter, Birmingham",29 reviews,8.9,2,Fabulous
4679,Opulent 1 Bedroom Cosy Suite,Birmingham,"Jewellery Quarter, Birmingham",42 reviews,9.4,4,Superb
4680,Cosy Luxury Suite Jewellery Quarter - Birmingham,Birmingham,"Jewellery Quarter, Birmingham",30 reviews,9.4,1,Superb
4681,Luxurious Cosy 4-bed in the heart of Birmingham,Birmingham,Birmingham,10 reviews,5.3,1,Review score
4682,"The Arcadian, Birmingham City Centre, by Lark Accommodation Cosy 1-bedroom Flat",Birmingham,"Birmingham Shopping District, Birmingham",32 reviews,8.1,2,Very good
4683,Large Beautiful 3 Bed house in City of Birmingham,Birmingham,Birmingham,33 reviews,8.2,3,Very good
4684,Two Bedroom Apartment-One Choice Stays- Jewellery Quarter,Birmingham,"Jewellery Quarter, Birmingham",29 reviews,6.8,4,Review score
4685,Two bedroom apartment- One Choice Stays- JQ,Birmingham,"Jewellery Quarter, Birmingham",26 reviews,6.9,1,Review score
4686,2 bedroom luxury apartment Birmingham city centre,Birmingham,"Eastside, Birmingham",5 reviews,5.6,1,Review score
4687,2 bedroom apartment city centre Birmingham,Birmingham,"Birmingham City Centre, Birmingham",77 reviews,7.4,4,Good
4688,StayBrum Acadian City Centre Apartments Birmingham Chinatown,Birmingham,"Birmingham Shopping District, Birmingham",37 reviews,6.9,4,Review score
4689,Autumn Oasis - Chic Studio in West Midlands,Birmingham,"Edgbaston, Birmingham",17 reviews,5.6,5,Review score
4690,"Studio Oasis - Central, Modern & Comfy with Netflix",Birmingham,"Edgbaston, Birmingham",27 reviews,6.6,5,Review score
4691,Trendy Studio in Vibrant West Midlands,Birmingham,"Edgbaston, Birmingham",30 reviews,5.6,2,Review score
4692,"Cosy Urban Studio Oasis, Moments from Attractions",Birmingham,"Edgbaston, Birmingham",32 reviews,6.7,5,Review score
4693,Modern Arcadian Centre Apartment 2 Bed / Balcony,Birmingham,"Birmingham Shopping District, Birmingham",65 reviews,6.4,1,Review score
4694,Location Location Location Birmingham City Centre,Birmingham,"Birmingham City Centre, Birmingham",45 reviews,8.4,1,Very good
4695,Luxury apartment in Birmingham with free parking.,Birmingham,Birmingham,23 reviews,8.5,1,Very good
4696,Chic City Centre Apartment Close to Attractions,Birmingham,"Birmingham Shopping District, Birmingham",24 reviews,5.9,2,Review score
4697,Perfect for Families and Contractors- near Digbeth,Birmingham,Birmingham,40 reviews,7.1,3,Good
4698,"Luxury 2 Bedroom Apartment, Broad street Birmingham",Birmingham,"The Westside, Birmingham",111 reviews,8.1,4,Very good
4699,Urban Chic Haven - Central - Parking Included,Birmingham,"Digbeth, Birmingham",24 reviews,7.0,1,Good
4700,One Bedroom Apartment hosted Be More Homely Serviced Accommodation & Apartments Birmingham With X1 King Beds Sleeps 4,Birmingham,Birmingham,2 reviews,4.5,1,Review score
4701,City bed with view,Birmingham,"The Westside, Birmingham",9 reviews,1.1,4,Review score
4702,City view apartment,Birmingham,"The Westside, Birmingham",5 reviews,2.4,4,Review score
4703,Luxury Birmingham City Centre Apartment,Birmingham,"The Westside, Birmingham",23 reviews,8.8,5,Fabulous
4704,Solihull apartment,Birmingham,Birmingham,164 reviews,7.8,5,Good
4705,"Birmingham Ruby, 2 bedroom Apartment",Birmingham,"The Westside, Birmingham",5 reviews,9.0,2,Superb
4706,"Birmingham Emerald, 2 bedroom Apartment",Birmingham,"The Westside, Birmingham",5 reviews,8.2,5,Very good
4707,Monyhull Homestay - near City centre Kingsheath NIA NEC BHX,Birmingham,Birmingham,106 reviews,7.6,1,Good
4708,"Birmingham Amethyst, 3 bedroom Apartment",Birmingham,"The Westside, Birmingham",11 reviews,7.1,2,Good
4709,Comfortable One Bed Apartment near Arcadian Birmingham Parking WIFI,Birmingham,"Gay Village Birmingham, Birmingham",10 reviews,8.9,4,Fabulous
4710,Latitude Chinatown Central Apartment,Birmingham,"Birmingham Shopping District, Birmingham",100 reviews,8.4,1,Very good
4711,UR City Pad - Richmond Apartments,Birmingham,Birmingham,68 reviews,7.9,2,Good
4712,Birmingham Central Deluxe Inn,Birmingham,Birmingham,23 reviews,8.3,3,Very good
4713,Apartment Bloc,Birmingham,"Jewellery Quarter, Birmingham",65 reviews,8.3,4,Very good
4714,Britannia Hotel Birmingham New Street Station Birmingham,Birmingham,"Birmingham Shopping District, Birmingham",6 reviews,2.5,1,Review score
4715,Fresher Space,Birmingham,Birmingham,1 review,9.0,1,Superb
4716,Birmingham Central Backpackers,Birmingham,"Digbeth, Birmingham","2,331 reviews",7.6,4,Good
4717,Normanton,Birmingham,Birmingham,14 external reviews,Superb 9.0,4,
4718,budget private rooms close to city centre and airport,Birmingham,Birmingham,82 reviews,7.3,5,Good
4719,Pestana Berlin Tiergarten,Berlin,"Mitte, Berlin","4,613 reviews",8.1,1,Very good
4720,Hotel Karlshorst,Berlin,"Lichtenberg, Berlin","1,506 reviews",6.9,2,Review score
4721,Pension Am Park,Berlin,"Charlottenburg-Wilmersdorf, Berlin",472 reviews,7.7,4,Good
4722,"Hotel Berlin, Berlin, a member of Radisson Individuals",Berlin,"Mitte, Berlin","10,961 reviews",7.9,1,Good
4723,B&B Hotel Berlin City-Ost,Berlin,"Friedrichshain-Kreuzberg, Berlin","1,730 reviews",7.5,1,Good
4724,Scandic Berlin Kurfürstendamm,Berlin,"Charlottenburg-Wilmersdorf, Berlin","7,592 reviews",8.1,4,Very good
4725,DoubleTree by Hilton Berlin Ku'damm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",395 reviews,8.8,4,Fabulous
