S NO,HOTEL NAME,FREE WIFI,FAMILY ROOMS,NON SMOKING ROOMS,RESTAURANT,BAR,HEATING,LIFT,BREAKFAST CUISINE 1,BREAKFAST CUISINE 2,BREAKFAST CUISINE 3
5189,Hotel Villa Konstanz,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5190,Hotel Bohemia,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5191,Hotel Amelie Berlin,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5192,numa I Arc Rooms & Apartments,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES
5193,Hotel am Schloß Köpenick by Golden Tulip,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
5194,Hotel Kubrat an der Spree,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES
5195,Westlife Apart Hotel Berlin,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5196,Wilmina Hotel,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5197,ipartment Berlin Mitte,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5198,Hapimag Ferienwohnungen Berlin Zoo,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES
5199,COSMO Hotel Berlin Mitte,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
5200,Apartments Berlin Centre Home,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES
5201,Hotel Am Stuttgarter Eck,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5202,The Circus Hotel,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5203,Pension Oase,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5204,Apartment Rochstrasse Berlin,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES
5205,Melarose Feng Shui Hotel,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
5206,limehome Berlin Chausseestraße,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES
5207,Apartments Berlin Aroser Allee,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5208,Neu-Helgoland,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5209,Hotel Dori´s 108,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5210,Hotel Ambert,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES
5211,"Schillinger-Berlin - dance, sleep, repeat!",YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
5212,URBAN LOFT Berlin,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES
5213,Hotel-Pension Insor,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5214,BENSIMON apartments Mitte/Wedding,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5215,Comfortable Cozy Oasis,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5216,Hotel-Pension Lydia,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES
5217,Hostel 199,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
5218,Bob W Mitte,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES
5219,Hotel Benn,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5220,Hotel Amadeus Central,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5221,Hotel Amadeus Central,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5222,Hollywood Media Hotel am Kurfürstendamm,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES
5223,Einzigartige 140m² große Loft - am Spree!!,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
5224,Pension Amanda,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES
5225,Landhaus Alpinia,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5226,KPM Hotel & Residences,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5227,Hotel Ambassador-Berlin Grünau,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5228,Nice apartment in Mitte Berlin15,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES
5229,Charming apartment in the center of Berlin 2142,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
5230,Nice flat in the heart of Berlin 2141,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES
5231,Luxury flat in the heart of Berlin 2131,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5232,Flat with terrace in the heart of Berlin 2121,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5233,Lovely apartament in Mitte Berlin 2021,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5234,Apartament with terrace in Mitte Berlin 2011,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES
5235,Cozy apartment in the center of Berlin 23,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
5236,Nice apartment in Mitte Berlin 25,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES
5237,Stylish apartment in the center of Berlin 52,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5238,Pure Berlin Apartments - Luxury at Pure Living in City Center,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5239,Apartments im Thüringer Hof,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5240,Hausboot DeLuxe,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES
5241,BENSIMON apartments Mitte - Moabit,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
5242,Arabel Design Apartments,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES
5243,Flower's Berlin by limehome - Digital Access,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5244,Aparthotel VEGA,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5245,Louisa's Place,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5246,Hotel Neuer Fritz,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES
5247,Schoenhouse Avenue - Digital Access,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
5248,DämeritzSeehotel,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES
5249,Hotel Astrid am Kurfürstendamm,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5250,BearlinCity Apartments - City Center West,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5251,Hotel Aster an der Messe,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5252,Excellent Apartments Kreuzberg,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES
5253,numa l Sketch Rooms & Apartments,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
5254,ArtHotel Connection,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES
5255,Yggotel Ravn,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5256,Hotel-Pension Spree,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5257,Ark am Hauptbahnhof,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5258,Dietrich-Bonhoeffer-Hotel Berlin Mitte,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES
5259,Hotel Pension Waizenegger am Kurfürstendamm,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
5260,Pension Majesty,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES
5261,Hotel Alex Berlin,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5262,Familienhotel Citylight,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5263,Eastern & Western Berlin Boat GmbH,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5264,Hotel Grand Inn,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES
5265,Hotel Bonverde (Wannsee-Hof),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
5266,Cozy flat near Ku'damm with free parking,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES
5267,Boutique Altbau Apartment,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5268,Das besondere Quartier in Berlin - Pankow,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5269,Motel Home Berlin,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5270,limehome Berlin Müllerstraße - Digital Access,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES
5271,Seminar- und Gästehaus Flussbad Gartenstrasse,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
5272,Hostel VITA Berlin,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES
5273,Parkhotel Marzahn,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5274,Wohlfühl-Insel Ideal zentral 76 qm Berlin-Mitte,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5275,The Rix Studios & Suites near SBahn Neukölln,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5276,Lekkerurlaub,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES
5277,Spacious loft style Studio in Berlin Wilmersdorf,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
5278,Brauhaus in Spandau,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES
5279,MEININGER Hotel Berlin Alexanderplatz,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5280,Kiez Hostel Berlin,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5281,Select Hotel Berlin Checkpoint Charlie,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5282,Midi Inn Parkhotel Mitte,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES
5283,Hotel Spree-idyll,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
5284,Hotel Pension Bernstein am Kurfürstendamm,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES
5285,Apartment Berlin Paul-Robeson-Straße,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5286,"Singer109 Hostel, Hotel & Apartment",YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5287,Townhouse Berlin,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5288,limehome Berlin Malmöer Straße,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES
5289,Hotel Vita Berlin-Messe,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
5290,St Christopher's Inn Berlin Mitte,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES
5291,Hotel hostel Zafir,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5292,Orania.Berlin,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5293,Linnen,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5294,Hotel Gasteiner Hof,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES
5295,numa I Novela Rooms & Apartments,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
5296,numa I Novela Rooms & Apartments,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES
5297,Hotel Spreewitz am Kurfürstendamm,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5298,Apartments Berlin Bornimer Straße,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5299,Charming Loft in Berlin Moabit,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5300,Pension Freiraum Guesthouse Berlin,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES
5301,Das Literaturhotel Berlin,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
5302,Privatzimmer zentrale West-Berlin,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES
5303,K&S Apartments,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5304,Private Rooms in Prenzlauerberg,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5305,Select Hotel Berlin The Wall,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5306,Märkischer Hof Hotel,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES
5307,Axel Hotel Berlin-Adults Only,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
5308,Berl Inn,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES
5309,Hotel Haus Bismarck,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5310,Metropol Hostel Berlin,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5311,Adina Apartment Hotel Berlin Hackescher Markt,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5312,Sezer B&A UG,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES
5313,Waldhotel am See Berlin-Schmöckwitz,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
5314,Parlamento Rooms,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES
5315,Ruhige Zimmer im Grünen,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5316,Stylisches Loft mitten in Berlin,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5317,City Hotel Ansbach am KaDeWe,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5318,AMANO HOME Apartments,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES
5319,Goodman's Living,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
5320,Honigmond Boutique Hotel,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES
5321,City Hotel Gotland,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5322,Motel Home Wittenau,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5323,the niu Flash,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5324,Stadtoase im Herzen Berlins,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES
5325,Zimmervermietung Berlin Mertens,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
5326,Garden Boutique Hotel,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES
5327,Monbijou Hotel,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5328,Loft in the middle of Berlin,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5329,primeflats - Apartments Schillerpark Berlin-Wedding,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES
5330,enjoy hotel Berlin City Messe,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES
5331,Alte Feuerwache,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
5332,Boxi Studios Berlin,NO,YES,YES,NO,NO,NO,YES,NO,YES,YES
5333,Pension Wernicke-Das-Original,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO
5334,Apartmenthaus Berlin Mitte,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5335,Adina Apartment Hotel Berlin Mitte,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES
5336,Wil7 Boutique Hotel,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES
5337,Charmante Unterkunft in Kreuzberg,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
5338,Modern and new designer flat in Charlottenburg,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES
5339,City Inn,NO,YES,YES,YES,NO,NO,YES,YES,NO,NO
5340,Luxury Apartments in Berlin - Luka's apartments by Arbio,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO
5341,DORMERO Hotel Berlin Ku'damm,YES,NO,NO,YES,YES,YES,NO,NO,YES,YES
5342,Telegraphenamt,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES
5343,Hotel-Pension Michele,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
5344,Hotel Carolinenhof,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES
5345,Stylish studio in the center of Berlin 41,NO,YES,YES,YES,NO,NO,YES,YES,NO,NO
5346,Schoenhouse City Street,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO
5347,Adina Apartment Hotel Berlin Checkpoint Charlie,YES,NO,NO,YES,YES,YES,NO,NO,YES,YES
5348,Apartment Hotel Wittenau,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES
5349,Secret Studio Lux SPECIAL OFFER,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
5350,numa I Belfort Rooms & Apartments,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES
5351,numa I Nook Rooms & Apartments,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES
5352,Hotel Forsthaus,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES
5353,The Faces Berlin,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO
5354,Lovely Apartment in the near of Kudamm,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5355,Kant 99 S,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5356,Luxurious studio in the center of Berlin 31,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES
5357,Raja Jooseppi Apartments,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES
5358,Hotel Plovdiv,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES
5359,Hotel Oderberger,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO
5360,Prime Comfort Apartment with Balcony & Free Parking,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO
5361,Studios ElPilar Friedrichshain,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES
5362,Minitel,YES,YES,NO,YES,NO,YES,NO,YES,YES,YES
5363,Havelapartments,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES
5364,"Zentrales Apartment: Kreuzberg, Berlin",NO,YES,YES,YES,YES,NO,YES,NO,YES,YES
5365,42up Berlin Pankow,NO,YES,YES,NO,YES,NO,YES,NO,NO,NO
5366,Hotel Adele,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO
5367,Elifim,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES
5368,Down Town Motel,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES
5369,Cozy Apartment with Cinema and Terrace &VRGlasses,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES
5370,limehome Berlin Neue Straße,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES
5371,Köpenick 43 mit WLAN,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO
5372,4 Sterne Souterrain Apartment Alt-Mariendorf,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO
5373,Crazy 44sqm 3room maisonette apt Near center,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES
5374,Căn hộ có đầy đủ tiện nghi,YES,YES,NO,YES,YES,YES,NO,NO,YES,YES
5375,Garden Living - Boutique Hotel,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES
5376,Wassersport-Appartements am Stößensee,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES
5377,numa I Kater Apartments,NO,YES,YES,YES,NO,NO,YES,YES,NO,NO
5378,CVJM Jugendgästehaus Berlin,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5379,ABION Villa Suites,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5380,The Circus Apartments,YES,YES,NO,NO,YES,YES,NO,NO,YES,YES
5381,Gorki Apartments,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES
5382,Upper Deluxe Berlin/6 People,NO,YES,YES,YES,NO,YES,YES,YES,NO,NO
5383,Dream of Imaginations in the Heart of 24 hr Part of the City,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES
5384,280qm Kudamm Loft,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES
5385,Kiez Box TwentyForSeven private room,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
5386,Eastside 35,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES
5387,DE SIGNATURE,NO,YES,YES,YES,YES,NO,YES,YES,NO,NO
5388,St Christopher's Apartments,YES,NO,YES,YES,NO,YES,YES,NO,NO,NO
5389,Grand Central City Apartments Mitte Rosenthaler Platz,YES,NO,NO,YES,NO,YES,NO,NO,YES,YES
5390,Mondrian Suites Berlin am Checkpoint Charlie,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES
5391,primeflats - Apartments Genter Berlin-Wedding,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
5392,Kant 99 XL,NO,YES,YES,NO,YES,NO,YES,YES,YES,YES
5393,Ferienwohnung Kreuzberg,NO,YES,YES,YES,YES,NO,YES,YES,NO,NO
5394,Urban city home,YES,NO,YES,YES,NO,YES,YES,NO,NO,NO
5395,FAMILY at Mauerpark plus SelfCheckIn plus Street Parking,YES,NO,NO,YES,NO,YES,NO,NO,YES,YES
5396,Appt Berlin,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES
5397,Fantastic 2 Bedroom Apartment,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
5398,Fantastic Loft with Balcony,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES
5399,MYSTAY BERLIN Müggelheim,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES
5400,limehome Berlin Kopenhagener Straße,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES
5401,Schönes Serviced Apartment in Berlin,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO
5402,FBApartments,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5403,Nap Club - stylish flat in lively neighborhood,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5404,West Side Story5rooms/10 people,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES
5405,Architect's Penthouse With Rooftop in Kreuzberg,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES
5406,Cosy loft style Apartment in Berlin Wilmersdorf,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES
5407,Spacious Design Apartment,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO
5408,Artsy Berlin Oasis Apartment by Arbio,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO
5409,"Luxury Maisonette 2 floors,2 Bathrooms Mitte City",YES,NO,NO,YES,YES,YES,NO,YES,YES,YES
5410,"BIG 7RMS City Central Loft, 1ALocation",YES,YES,NO,YES,NO,YES,NO,YES,YES,YES
5411,Cosy Three BR Two BTH plus AC plus Self CheckIn plus Street Parking,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES
5412,Shabby Chic plus Self CheckIn plus Free Street Parking,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES
5413,Stylish Loft Apartment plus SelfCheckIn plus Street Parking,NO,YES,YES,NO,YES,NO,YES,NO,NO,NO
5414,Kudamm plus AC plus SelfCheckIn plus Free Street Parking,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO
5415,Family Apartment Moabit,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES
5416,One Bedroom Apartment Berlin Neukölln,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES
5417,Two BR and Two BTH plus Self Checkin plus Street Parking,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES
5418,Stylish Loft close to Boxhagener Platz,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES
5419,Spacious Family Apartment with 2 Bedrooms,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO
5420,NG19. YOUR INSPIRING HOMEBASE.,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO
5421,Düsseldorferstr. 31a,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES
5422,"Zentrales Design Apartment mit Beamer, Berlin",YES,YES,NO,YES,YES,YES,NO,NO,YES,YES
5423,Apartment at Rosenthaler Platz,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES
5424,Möblierte Wohnung am Ku’damm,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES
5425,2 Room Apartment am Ufer mit Boxspringbetten,NO,YES,YES,YES,NO,NO,YES,YES,NO,NO
5426,Central Apartment in Heart of Berlin,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5427,Apartment in the center of Berlin 2132,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5428,Apartment in the heart of Berlin 2122,YES,YES,NO,NO,YES,YES,NO,NO,YES,YES
5429,Flat in the center of Berlin 2112,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES
5430,Nice apartament in the heart of Berlin 2111,NO,YES,YES,YES,NO,YES,YES,YES,NO,NO
5431,Nice flat with terrace in Mitte Berlin 2032,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES
5432,Apartament in the center of Berlin 2031,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES
5433,Flat with terrace in Mitte Berlin 2022,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
5434,Stylish apartment in the center of Berlin 12,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES
5435,Nice apartment in the heart of Berlin 13,NO,YES,YES,YES,YES,NO,YES,YES,NO,NO
5436,Luxury flat in the heart of Berlin 14,YES,NO,YES,YES,NO,YES,YES,NO,NO,NO
5437,Luxurious studio in the heart of Berlin 21,YES,NO,NO,YES,NO,YES,NO,NO,YES,YES
5438,Luxury 2Rooms apartament in the heart of Berlin 22,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES
5439,Luxurious apartment in the heart of Berlin 32,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
5440,Cozy apartment in the center of Berlin 33,NO,YES,YES,NO,YES,NO,YES,YES,YES,YES
5441,charming apartment in the center of Berlin 34,NO,YES,YES,YES,YES,NO,YES,YES,NO,NO
5442,Luxury apartament in the center of Berlin 35,YES,NO,YES,YES,NO,YES,YES,NO,NO,NO
5443,Stylish apartment in the heart of Berlin 42,YES,NO,NO,YES,NO,YES,NO,NO,YES,YES
5444,Cozy apartment in the heart of Berlin 43,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES
5445,Stylish apartment in the center of Berlin 44,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
5446,Lovely apartament in Mitte Berlin 11,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES
5447,Holiday 33 Apartment J Prenzlauerberg,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES
5448,Cozy apartment close to Treptower park,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES
5449,JULIA - Schwimmendes Apartment,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO
5450,TOP SPOT - KREUZBURG CENTRAL THE PLACE TO BE !,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
5451,Industrial Loft in Berlin Mitte,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES
5452,Luxury Apartment Berlin Mitte,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES
5453,Exclusive designer flat Apartment - Yael's apartments - Charlottenburg by Arbio,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES
5454,Exclusive calm and designer flat - Yael's apartments - Charlottenburg by Arbio,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES
5455,Central and new designer flat - Yael's apartments - Charlottenburg by Arbio,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO
5456,Holiday 33 Apartments EFG Schönhauser Allee,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO
5457,Eco-Friendly Super Central Smart Home,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES
5458,Gästehaus Kevin Schult,YES,YES,NO,YES,NO,YES,NO,YES,YES,YES
5459,"1,5 Zimmer Apartment über den Wolken",YES,YES,YES,YES,NO,YES,YES,YES,YES,YES
5460,StayBearlin Apartments Prenzlauer Berg Dunckerstraße,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES
5461,Tempelhoferfeld,NO,YES,YES,NO,YES,NO,YES,NO,NO,NO
5462,Feels like Home,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO
5463,City Center Apartments,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES
5464,Apartment Cheers am Körnerpark,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES
5465,Central Lichtenberger Apartment for 6 People,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES
5466,Eagles Nest,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES
5467,Newton-Appartement mit 3 Schlafzimmern,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO
5468,SANA Berlin Residence,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO
5469,BENSIMON apartments Charlottenburg,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES
