SNO,HOTEL NAME,ROOM TYPE ,SINGLE BED,DOUBLE BED,PRICES,,,,
4159,FabHotel Grand Boutique,Deluxe Room,NO,YES,"₹ 2,143",,,,
4160,OYO Flagship Hotel Pan Pacific,Classic Triple Room,NO,YES,"₹ 1,035",,,,
4161,OYO Flagship 81117 Park View New,Classic Triple Room,YES,YES,₹ 776,,,,
4162,Collection O Nk Residency Kalkaji Near Lotus Temple,Classic Triple Room,YES,YES,"₹ 1,146",,,,
4163,Hotel Twin Tree Naraina,Economy Double Room,YES,NO,"₹ 2,600",,,,
4164,Hotel Crystal Residency Inn Near Saket Metro Station,Deluxe Room,YES,NO,"₹ 1,750",,,,
4165,Collection O Nirvana Residency Near Lotus Temple,Classic Triple Room,NO,YES,₹ 947,,,,
4166,"Mintstar Apartment and Suites, East of Kailash",Deluxe Room,NO,YES,"₹ 2,798",,,,
4167,hotel suzi international,Deluxe Triple Room,YES,YES,"₹ 2,268",,,,
4168,The Dream House,Deluxe Room,YES,YES,"₹ 2,915",,,,
4169,OYO Flagship Hotel Unwind,Classic Triple Room,YES,NO,"₹ 2,677",,,,
4170,OYO Flagship Hotel SS Palace,Classic Triple Room,YES,NO,₹ 845,,,,
4171,local residency,Deluxe Double Room (2 Adults + 1 Child),NO,YES,"₹ 2,000",,,,
4172,"Hotel Sparkk Deluxe, New Delhi",Deluxe Room,NO,YES,"₹ 1,350",,,,
4173,Flagship Royal Galaxy b& b Near Lotus Temple,Classic Triple Room,YES,YES,"₹ 1,035",,,,
4174,Collection O 74986 Hotel Sky Villa's Near Palam Metro Station,Standard Double Room,YES,YES,"₹ 2,286",,,,
4175,OYO Flagship Hotel Sudarshan Palace,Classic Triple Room,YES,NO,"₹ 1,724",,,,
4176,"1 BHK opn terrace,gazebo,BBQ 9910567591",One-Bedroom Apartment,YES,NO,"₹ 3,737",,,,
4177,FabHotel LR Nehru Place,Deluxe Room,NO,YES,"₹ 1,832",,,,
4178,Hotel Arch Suites - Near Aerocity,Deluxe Double or Twin Room,NO,YES,"₹ 2,250",,,,
4179,Hotel Swaran Palace,Premium Room,YES,YES,"₹ 3,750",,,,
4180,Super OYO Collection O White Saffron Near Rohini Sector 18 Metro Station,Classic Triple Room,YES,YES,"₹ 1,368",,,,
4181,Best Panoramic & River View,One-Bedroom Apartment,YES,NO,"₹ 3,999",,,,
4182,Lotus Home,Deluxe Room,YES,NO,"₹ 2,500",,,,
4183,Hotel Good Palace,Standard Double or Twin Room,NO,YES,"₹ 2,250",,,,
4184,Hotel TMS Grand,Deluxe Double Room with Balcony,NO,YES,"₹ 2,500",,,,
4185,Hotel Good Vibe Near Delhi IGI Airport,Superior Double Room,YES,YES,"₹ 1,749",,,,
4186,Hotel Le Roi,Deluxe Double Room,YES,YES,"₹ 2,634",,,,
4187,Radisson Blu Hotel New Delhi Paschim Vihar,Superior Double or Twin Room,YES,NO,"₹ 8,000",,,,
4188,FabExpress Shine Inn,Deluxe Room,YES,NO,"₹ 1,615",,,,
4189,Amber Inn by Orion Hotels,Standard Double Room,NO,YES,"₹ 4,225",,,,
4190,The Kiara Near To Delhi Airport,Deluxe Double or Twin Room,NO,YES,"₹ 1,595",,,,
4191,place in malviya nagar,Two-Bedroom Apartment,YES,YES,"₹ 4,500",,,,
4192,Laxmi Palace Mahipalpur,Double Room,YES,YES,"₹ 1,899",,,,
4193,Zenith Mahipalpur - Free Parking,Standard Double or Twin Room,YES,NO,"₹ 2,500",,,,
4194,OYO Flagship R Stay,Classic Triple Room,YES,NO,"₹ 2,294",,,,
4195,Hotel Le Continental Near New Delhi Railway Station,Family Room,NO,YES,"₹ 2,919",,,,
4196,Capital O Grand Central Near Gurudwara Shri Bangla Sahib,Deluxe Double or Twin Room,NO,YES,"₹ 1,241",,,,
4197,MOYDOM Private Ensuite with Shared Balcony & Kitchen,Double Room with Private Bathroom,YES,YES,"₹ 4,000",,,,
4198,Hotel SR Palce Delhi Airport Unit BY URBAN Luxury,Standard Double Room,YES,YES,"₹ 1,575",,,,
4199,Hotel India International,Deluxe Double Room,YES,NO,"₹ 1,403",,,,
4200,Hotel Maharani Lodge,Standard Triple Room,YES,NO,"₹ 1,320",,,,
4201,FabHotel Gera,Deluxe Room,NO,YES,"₹ 1,284",,,,
4202,"Rockland Hotel, C.R Park",Standard Double Room,NO,YES,"₹ 5,309",,,,
4203,"kiki,s home",One-Bedroom Apartment,YES,YES,"₹ 2,924",,,,
4204,OYO Flagship Jps Skyview,Classic Triple Room,YES,YES,"₹ 1,724",,,,
4205,Flagship Hotel Signature Village,Standard Double Room,YES,NO,"₹ 1,142",,,,
4206,FabHotel South View,Deluxe Room,YES,NO,"₹ 2,085",,,,
4207,POP Hotel Relax Inn Near Select Citywalk Mall,Classic Triple Room,NO,YES,₹ 862,,,,
4208,OYO Flagship Hotel GT Inn,Classic Triple Room,NO,YES,"₹ 1,580",,,,
4209,FabExpress RG Stay,Deluxe Room,YES,YES,"₹ 2,090",,,,
4210,Hotel Airport palace near Delhi airport aerocity,Deluxe Double Room,YES,YES,"₹ 1,499",,,,
4211,FabHotel VAT - Meera Bagh,Deluxe Room,YES,NO,"₹ 1,243",,,,
4212,Hotel Baljeet Lodge,Deluxe Double Room,YES,NO,"₹ 3,000",,,,
4213,Hotel B Continental,Deluxe Room,NO,YES,"₹ 2,378",,,,
4214,Hotel Iconic Inn,Deluxe Room (2 Adults + 1 Child),NO,YES,"₹ 1,280",,,,
4215,Hotel Red Snapper Prime,Double Room,YES,YES,₹ 960,,,,
4216,OYO Townhouse 475 Nangal Raya Pankha Road,Classic Triple Room,YES,YES,"₹ 1,131",,,,
4217,OYO Flagship 15764 Hotel Akash Continental Near Pacific Mall Tagore Garden,Standard Double Room,YES,NO,"₹ 1,474",,,,
4218,Downtown Travelodge,Deluxe Double Room with Bath,YES,NO,"₹ 2,115",,,,
4219,The Grace Hotel - Short Drive from Delhi Airport,Deluxe Room,NO,YES,"₹ 1,517",,,,
4220,Airport hotel Golden Bliss,Budget Double Room,NO,YES,"₹ 1,999",,,,
4221,Airport hotel Golden Bliss,Budget Double Room,YES,YES,"₹ 1,999",,,,
4222,Evergreen Suites,Queen Room,YES,YES,"₹ 4,250",,,,
4223,OYO Flagship Hotel Blue Orchid,Classic Triple Room,YES,NO,₹ 949,,,,
4224,Hotel RTS - Mahipalpur,Deluxe Double Room (2 Adults + 1 Child),YES,NO,"₹ 1,476",,,,
4225,airport runway hotel,Deluxe Double Room with Balcony,NO,YES,"₹ 1,080",,,,
4226,Hotel Star Dx by Wood View Paharganj Delhi,Deluxe Room,NO,YES,"₹ 1,440",,,,
4227,Pallvi Palace Hotel @ New Delhi Railway Station,Standard Double Room,YES,YES,"₹ 1,799",,,,
4228,Deurali Delux Guest House -24 By 7,Classic Triple Room,YES,YES,₹ 900,,,,
4229,OYO Flagship The Grey Orchid,Classic Triple Room,YES,NO,"₹ 1,550",,,,
4230,Hotel Bel Morris,Deluxe Room,YES,NO,"₹ 2,999",,,,
4231,FabHotel CH House,Deluxe Room,NO,YES,"₹ 1,489",,,,
4232,Nirvana Villa Apartments luxury loft 2BHK,One-Bedroom Apartment,NO,YES,"₹ 2,880",,,,
4233,Hotel double R,Double Room,YES,YES,"₹ 1,399",,,,
4234,Silver Palace Hotel,Deluxe Double Room with Shower,YES,YES,₹ 865,,,,
4235,"Red Fox Hotel, East Delhi",Business Room,YES,NO,"₹ 5,400",,,,
4236,The Lohmod Hotel - Near Delhi Airport,Deluxe Double Room,YES,NO,"₹ 3,648",,,,
4237,Hotel Elevate By RS Global,Double Room,NO,YES,"₹ 2,025",,,,
4238,Studio 23,One-Bedroom Apartment,NO,YES,"₹ 1,980",,,,
4239,Roomshala 122 Hotel Park View - Near Adarsh Nagar,Deluxe Double Room (2 Adults + 1 Child),YES,YES,"₹ 1,200",,,,
4240,"Hotel Gagan Inn - Backside Punjab National Bank - West Patel Nagar, Metro Pillar No 222",Deluxe Double or Twin Room,YES,YES,"₹ 2,999",,,,
4241,"Eros Hotel New Delhi, Nehru Place",Superior Room with free Wi-Fi,YES,NO,"₹ 13,499",,,,
4242,Caspia Hotel New Delhi,Superior Queen Room,YES,NO,"₹ 5,040",,,,
4243,Hotel Mohan International homely atmosphere,Deluxe Double Room,NO,YES,"₹ 3,384",,,,
4244,FabExpress Station II,Deluxe Room,NO,YES,"₹ 2,299",,,,
4245,Roomshala 028 Blu Lagoon - Opposite Select City Walk Mall,Deluxe Double Room (2 Adults + 1 Child),YES,YES,"₹ 2,200",,,,
4246,OYO Townhouse 604 The Royal Galaxy,Deluxe Triple Room,YES,YES,"₹ 1,638",,,,
4247,Franklein Suites At Delhi Airport,Deluxe Double Room,YES,NO,"₹ 1,228",,,,
4248,OYO Flagship Hotel Bangla Sahib,Classic Triple Room,YES,NO,"₹ 1,121",,,,
4249,Qotel Hotel Church House Rohini Sector 15,Standard Double Room,NO,YES,"₹ 3,599",,,,
4250,Park Plaza Shahdara,Superior Double or Twin Room,NO,YES,"₹ 6,975",,,,
4251,Hotel metro star,Double Room,YES,YES,"₹ 1,980",,,,
4252,The Grand New Delhi,Executive Suite with 20% discount on food and soft beverage; IMFL alcohol and Snacks as per hotel discretion; Happy hours time 17:00 hrs to 19:00hrs; Early check in at 11.00 AM; Late check out till 15.00 PM,YES,YES,"₹ 24,749",,,,
4253,Serviced Apartments in Delhi - Three BHK,Three-Bedroom Apartment,YES,NO,"₹ 11,880",,,,
4254,"Swagat Palace, Delhi",Deluxe Room,YES,NO,"₹ 8,000",,,,
4255,Flagship Premium Inn,Classic Triple Room,NO,YES,"₹ 1,035",,,,
4256,Palatial Home at Anand Niketan South campus,Double Room with Private Bathroom,NO,YES,"₹ 4,500",,,,
4257,OYO Flagship Discovery,Classic Triple Room,YES,YES,"₹ 1,319",,,,
4258,Premium Inn-Near sector 51 metro,Double Room,YES,YES,"₹ 2,000",,,,
4259,Hotel Maya Cottage-BY RSL Hospitality,Economy Double Room,YES,NO,"₹ 1,228",,,,
4260,OYO Flagship SS Residency,Classic Triple Room,YES,NO,₹ 861,,,,
4261,Hotel Sunstar Heights,Small Double or Twin Room,NO,YES,"₹ 2,400",,,,
4262,FabHotel La Ola,Deluxe Room,NO,YES,"₹ 1,875",,,,
4263,The Royal Rosette - Near Connaught Place,Standard King Room,YES,YES,"₹ 1,699",,,,
4264,Hotel SHIMLA HERITAGE- Near B L K Hospital,Deluxe Double Room,YES,YES,"₹ 1,999",,,,
4265,OYO Flagship Hotel Paradise,Classic Triple Room,YES,NO,₹ 900,,,,
4266,"Treebo Trend Royal Comfort - 5 Km Away From Arun Jaitley Stadium, Delhi",Standard Double Room,YES,NO,"₹ 7,795",,,,
4267,Hotel Guru Vas Inn,Deluxe Double Room,NO,YES,"₹ 4,400",,,,
4268,Hotel BB Palace (A Family Hotel),Deluxe Double Room,NO,YES,"₹ 1,800",,,,
4269,HOTEL CITY INN,Double Room,YES,YES,"₹ 1,399",,,,
4270,Hotel Home Stay Dwarka,Deluxe Triple Room,YES,YES,"₹ 2,660",,,,
4271,Hotel Home Stay Dwarka,Deluxe Triple Room,YES,NO,"₹ 2,660",,,,
4272,OYO Flagship 85202 International Guest House,Classic Triple Room,YES,NO,"₹ 1,802",,,,
4273,Anchal Dx,Economy Double Room,NO,YES,₹ 854,,,,
4274,FabHotel F9 NFC,Deluxe Room,NO,YES,"₹ 2,356",,,,
4275,Hotel Jeet Palace Near Laxmi Nagar Metro Station,Deluxe Room,YES,YES,"₹ 2,990",,,,
4276,OYO Hotel Ramji 7 Grand Near M2k Cinemas Rohini,Executive Triple Room,YES,YES,₹ 736,,,,
4277,"Udman Panchshila Park by Ferns N Petals, South Delhi",Superior Double Room,YES,NO,"₹ 8,499",,,,
4278,Flagship Hotel Global Stay,Classic Triple Room,YES,NO,₹ 882,,,,
4279,OYO Flagship Happy Residency,Classic Triple Room,NO,YES,"₹ 1,033",,,,
4280,Hotel Golden Palace By Otaexpertz,Budget Double Room,NO,YES,"₹ 1,094",,,,
4281,Bewafa Palace,Deluxe Double or Twin Room with Balcony,YES,YES,"₹ 1,100",,,,
4282,"Hotel Shivam International - A Well Hygiene Property All Staff Vaccinated """,Budget Double Room,YES,YES,"₹ 1,500",,,,
4283,OYO Townhouse THE ARROW Near Lotus Temple,Classic Triple Room,YES,NO,₹ 861,,,,
4284,Hotel Almora Near Delhi Airport,Deluxe Double Room,YES,NO,"₹ 3,000",,,,
4285,Hotel All Time residency New Delhi,Deluxe Double Room,NO,YES,"₹ 2,655",,,,
4286,Hotel City Plaza,Classic Triple Room,NO,YES,₹ 947,,,,
4287,Collection O Agniv Residency Near Saket Metro,Classic Triple Room,YES,YES,₹ 881,,,,
4288,OYO Flagship Mannt Stay,Classic Triple Room,YES,YES,"₹ 1,245",,,,
4289,Hotel Ambica Palace AIIMS New Delhi - Couple Friendly Local ID Accepted,Deluxe Room,YES,NO,"₹ 3,025",,,,
4290,Premium Hotel Near Adarsh Nagar Metro Station,Deluxe Double Room (2 Adults + 1 Child),YES,NO,"₹ 1,299",,,,
4291,Flagship Hotel Green Villa,Classic Triple Room,NO,YES,"₹ 1,035",,,,
4292,Townhouse 1263 Shalimar Residency Near Shalimar Bagh Metro Station,Classic Triple Room,NO,YES,₹ 819,,,,
4293,Gallivanto Inn - Rohini,Budget Double Room,YES,YES,"₹ 2,675",,,,
4294,R S Group,Double Room,YES,YES,₹ 719,,,,
4295,Hotel ROYAL INN,Double Room,YES,NO,"₹ 1,200",,,,
4296,FabHotel New Heaven Chittranjan Park,Deluxe Room,YES,NO,"₹ 2,980",,,,
4297,OYO 74753 Sushma Ssadan,Classic Triple Room,NO,YES,₹ 853,,,,
4298,Regal Residency,Double Room,NO,YES,"₹ 1,999",,,,
4299,OYO Flagship Living Hub Paradise,Classic Triple Room,YES,YES,₹ 969,,,,
4300,Capital O Saket Villa Near Dlf Avenue Saket,Classic Triple Room,YES,YES,₹ 947,,,,
4301,OYO Flagship Abhi Residency,Classic Triple Room,YES,NO,"₹ 2,621",,,,
4302,Hotel Hare Krishna Paharganj,Deluxe Double Room,YES,NO,₹ 999,,,,
4303,Hotel Singh Palace,Executive Double or Twin Room,YES,YES,"₹ 3,000",,,,
4304,Grace Home,Budget Double Room,YES,YES,"₹ 2,100",,,,
4305,OYO Flagship Red Apple Homes,Classic Triple Room,NO,YES,₹ 949,,,,
4306,Siya Cottage,Double Room,NO,YES,"₹ 1,823",,,,
4307,Hotel De Clrak Residency,Double Room,YES,NO,"₹ 1,995",,,,
4308,Wood Castle,Deluxe Double or Twin Room,YES,NO,"₹ 3,300",,,,
4309,OYO Hotel Orchid Blu,Classic Triple Room,YES,YES,"₹ 1,378",,,,
4310,Aero Home Stay- Bed & Breakfast,Deluxe Room,YES,YES,"₹ 1,855",,,,
4311,"Diplomat, Chanakyapuri New Delhi- A Boutique Hotel",Double or Twin Room,NO,YES,"₹ 10,999",,,,
4312,37th Sky View your next space….,One-Bedroom Apartment,NO,YES,"₹ 4,500",,,,
4313,Hotel Legend International - Near New Delhi Railway Station,Deluxe Double Room,YES,NO,"₹ 2,999",,,,
4314,The Corus Hotel,Deluxe Double or Twin Room,YES,NO,"₹ 6,935",,,,
4315,FabHotel Sentinel Suites,Deluxe Room,YES,YES,"₹ 2,085",,,,
4316,"The Hans, New Delhi",Executive Room,YES,YES,"₹ 7,670",,,,
4317,Hotel Saket 27,Deluxe Double Room,NO,YES,"₹ 6,800",,,,
4318,Royal Comfort Castle,Deluxe Room,NO,NO,"₹ 2,699",,,,
4319,Hotel Star View,Standard Double Room,YES,NO,"₹ 2,990",,,,
4320,OYO White Rose Wallon Hotel Near Qutab Minar Metro Station,Small Double Room,YES,YES,"₹ 2,293",,,,
4321,Nines of Elegance At Castle Road,Double Room,YES,YES,"₹ 4,321",,,,
4322,Tudors eSuites Budget Apartments,Three-Bedroom Apartment,NO,YES,"₹ 50,543",,,,
4323,"Birmingham Strathallan Hotel, BW Signature Collection",Cozy Double Room- Non Smoking,YES,NO,"₹ 6,059",,,,
4324,Campanile Hotel - Birmingham,Twin Room,YES,YES,"₹ 9,199",,,,
4325,Aloft Birmingham Eastside,"Aloft, Guest room, 1 King",YES,YES,"₹ 10,513",,,,
4326,Castle Bromwich Hall; Sure Hotel Collection by Best Western,Double Room,NO,YES,"₹ 14,101",,,,
4327,"Holiday Inn Express Birmingham Star City, an IHG Hotel",Standard Double or Twin Room,NO,YES,"₹ 8,506",,,,
4328,The Bournbrook Inn,Double Room,YES,NO,"₹ 6,530",,,,
4329,ibis budget Birmingham Centre,Standard Triple Room,YES,NO,"₹ 9,507",,,,
4330,"Holiday Inn Express - Birmingham - City Centre, an IHG Hotel",Allocation on arrival,YES,YES,"₹ 12,151",,,,
4331,Bloc Hotel Birmingham,Standard Double Room - No Window,YES,YES,"₹ 11,099",,,,
4332,Leonardo Royal Hotel Birmingham - formerly Jurys Inn,Deluxe Double Room,NO,YES,"₹ 13,647",,,,
4333,Haya Guest House,Double Room,NO,YES,"₹ 6,470",,,,
4334,Selina Birmingham,Small Room Shared Bathroom,YES,NO,"₹ 8,843",,,,
4335,Aparthotel Adagio Birmingham City Centre,Studio with Double Bed,YES,NO,"₹ 10,008",,,,
4336,"Holiday Inn Birmingham City, an IHG Hotel",Standard Double Room,YES,YES,"₹ 13,556",,,,
4337,Hotel at Conference Aston,City Double Room,YES,YES,"₹ 10,337",,,,
4338,VIKKY LODGE,Double Room with Shared Bathroom,NO,YES,"₹ 5,560",,,,
4339,The Cotteridge Inn,Double Room,NO,YES,"₹ 4,549",,,,
4340,Edgbaston Park Hotel Birmingham,Standard Double Room,YES,NO,"₹ 16,275",,,,
4341,Birmingham Great Barr Hotel,Standard Double Room,YES,NO,"₹ 10,619",,,,
4342,"Holiday Inn Express Birmingham - Snow Hill, an IHG Hotel",Standard Double Room - Non-Smoking,NO,YES,"₹ 15,465",,,,
4343,Wray And Whyte House,Double or Twin Room,NO,YES,"₹ 5,762",,,,
4344,Best Western Plough and Harrow Hotel,Family Room with sofa bed,YES,YES,"₹ 12,636",,,,
4345,"Pristine 1 and 2 bedroom apartments near business district, walking distance to city centre, free internet & complimentary parking by Sojo Stay",One-Bedroom Apartment,YES,YES,"₹ 8,794",,,,
4346,Nr Birmingham City Centre Appartment Bullring,Apartment,NO,YES,"₹ 20,116",,,,
4347,"Radisson Blu Hotel, Birmingham",Standard Room,NO,YES,"₹ 13,444",,,,
4348,"Holiday Inn Birmingham M6, Jct7, an IHG Hotel",Double Room - Disability Access,YES,NO,"₹ 9,366",,,,
4349,Hilton Garden Inn Birmingham Brindley Place,Queen Room,YES,NO,"₹ 14,228",,,,
4350,Delta Hotels by Marriott Birmingham,Deluxe Double Room,YES,YES,"₹ 14,455",,,,
4351,The Grand Hotel Birmingham,Double Room,YES,YES,"₹ 17,741",,,,
4352,The Moseley Arms,Double Room,NO,YES,"₹ 6,571",,,,
4353,"Crowne Plaza Birmingham City, an IHG Hotel",Double Room with Two Double Beds,NO,YES,"₹ 13,748",,,,
4354,Clayton Hotel Birmingham,Deluxe Double Room,YES,NO,"₹ 12,029",,,,
4355,Bournville House & Cafe,Deluxe Double or Twin Room,YES,NO,"₹ 8,087",,,,
4356,Hampton by Hilton Birmingham Jewellery Quarter,Double Room,YES,YES,"₹ 11,678",,,,
4357,ibis Styles Birmingham Centre,Queen Room,YES,YES,"₹ 13,556",,,,
4358,pentahotel Birmingham,penta Standard Double or Twin Room,NO,YES,"₹ 13,647",,,,
4359,Toby Carvery Birmingham by Innkeeper's Collection,Double Room,NO,YES,"₹ 7,986",,,,
4360,The President,Two-Bedroom Apartment,YES,NO,"₹ 30,073",,,,
4361,The Class Place,Apartment with Terrace,YES,NO,"₹ 40,434",,,,
4362,Kunda House Moseley Apartments,One-Bedroom Apartment,YES,YES,"₹ 6,332",,,,
4363,OneFiveSix - Unique Apartments,One-Bedroom Apartment,YES,YES,"₹ 9,280",,,,
4364,Modern 2 Bedroom Loft Apartment near NEC / Birmingham Airport/ City Centre,Two-Bedroom Apartment,NO,YES,"₹ 11,170",,,,
4365,Charming Oasis in West Midlands with Netflix,One-Bedroom Apartment,NO,YES,"₹ 7,971",,,,
4366,Royal George Hotel,Double Room,YES,NO,"₹ 5,560",,,,
4367,ibis Birmingham Centre New Street Station Hotel,Double Room,YES,NO,"₹ 9,906",,,,
4368,Novotel Birmingham Centre,Standard Double Room with Sofa Bed,YES,YES,"₹ 13,849",,,,
4369,Johal Mini Hotel Birmingham City - FREE BREAKFAST,Double Room,YES,YES,"₹ 8,188",,,,
4370,Beautiful Ensuite Rooms Near QE & UOB,Double Room with Private Bathroom,NO,YES,"₹ 5,955",,,,
4371,AC Hotel by Marriott Birmingham,"Deluxe, Guest room, 1 King",YES,NO,"₹ 14,860",,,,
4372,The Saltley Inn,Budget Double Room,YES,NO,"₹ 4,852",,,,
4373,Ababeel Hotel,Budget Double Room,YES,YES,"₹ 8,997",,,,
4374,Ensuite Room Platinum 1 Harborne - Quinton Road,Double Room with Private Bathroom,YES,YES,"₹ 5,368",,,,
4375,Spacious 5 Bedroom House in Birmingham close to NEC For 12 Guests,Five-Bedroom House,NO,YES,"₹ 30,326",,,,
4376,KCS Luxury Apartment - Broad Street Birmingham,Deluxe Apartment,YES,NO,"₹ 22,239",,,,
4377,Lovely Holiday Home in Birmingham City Center 3 Bedrooms House By HF Group,Three-Bedroom House,YES,YES,"₹ 11,018",,,,
4378,The Blue Piano Guesthouse,Superior King Room,YES,YES,"₹ 11,726",,,,
4379,One Bedroom Apartment/Studio,Studio Apartment,NO,YES,"₹ 9,098",,,,
4380,The Aston Inn,Double Room,NO,YES,"₹ 5,560",,,,
4381,Hyatt Regency Birmingham,King Room,YES,NO,"₹ 17,286",,,,
4382,"Dawn House; Luxe Townhouse, B'ham JQ",Three-Bedroom House,YES,NO,"₹ 15,102",,,,
4383,Edgbaston House,Deluxe King Suite,YES,YES,"₹ 14,152",,,,
4384,Old Farm Hotel,Standard Double Room,YES,YES,"₹ 11,119",,,,
4385,The Briar Rose Wetherspoon,Double Room,NO,YES,"₹ 11,018",,,,
4386,Woodlands Hotel,Double Room,NO,YES,"₹ 9,704",,,,
4387,The Station Inn,Family Room,YES,NO,"₹ 5,560",,,,
4388,Birmingham City Guest House,King Room,YES,NO,"₹ 5,964",,,,
4389,Perfect-City Centre-Apartment,One-Bedroom Apartment,YES,YES,"₹ 19,560",,,,
4390,Malmaison Birmingham,Standard Double Room,YES,YES,"₹ 12,696",,,,
4391,City Retreat:Comfy & Central,One-Bedroom Apartment,NO,YES,"₹ 8,489",,,,
4392,Comfortable apartment with free parking & WIFI,Two-Bedroom Apartment,NO,YES,"₹ 14,213",,,,
4393,Macdonald Burlington Hotel,Standard Double Room,YES,NO,"₹ 16,073",,,,
4394,Park Regis Birmingham,Standard Double Room,YES,NO,"₹ 12,004",,,,
4395,JR Property,Standard Twin Room,YES,YES,"₹ 4,549",,,,
4396,The Cube Hotel Birmingham,Standard Double  Room,NO,YES,"₹ 14,101",,,,
4397,Comfort Inn Birmingham,Double Room,NO,YES,"₹ 11,761",,,,
4398,Charming West Midlands Escape – Strategic Location,One-Bedroom Apartment,YES,NO,"₹ 7,551",,,,
4399,Staycity Aparthotels Birmingham Jewellery Quarter,One-Bedroom Apartment (4 Adults),YES,NO,"₹ 17,185",,,,
4400,Staying Cool At Rotunda,Studio Apartment,YES,YES,"₹ 15,062",,,,
4401,Park lane guesthouse,One-Bedroom Apartment,YES,YES,"₹ 8,592",,,,
4402,The Rollason Hotel,Economy Double or Twin Room,NO,YES,"₹ 5,186",,,,
4403,Vicarage Lodge Birmingham,Twin Room with Shared Bathroom,NO,YES,"₹ 5,048",,,,
4404,The High Field Town House,Double Room,YES,NO,"₹ 14,461",,,,
4405,house of blues,Three-Bedroom House,YES,NO,"₹ 17,631",,,,
4406,The Birmingham Hotel,Deluxe King Room,YES,YES,"₹ 9,098",,,,
4407,2 Bedroom Flat In Erdington,Two-Bedroom Apartment,YES,YES,"₹ 5,893",,,,
4408,Luxury Apartment in Birmingham City Centre,One-Bedroom Apartment,NO,YES,"₹ 10,275",,,,
4409,Hotel du Vin Birmingham,Deluxe Room,NO,YES,"₹ 15,850",,,,
4410,Summerfield House,Budget Double Room,YES,NO,"₹ 3,841",,,,
4411,Apollo Hotel,Standard Double Room,YES,NO,"₹ 7,359",,,,
4412,Luxe NY Loft-Style - Central Birmingham - 2BR - Lush Green Oasis,Superior Apartment,YES,YES,"₹ 18,195",,,,
4413,I bed apartment,One-Bedroom Apartment,YES,YES,"₹ 7,369",,,,
4414,The Avenue Club and Lodge,Standard Double Room,NO,YES,"₹ 6,005",,,,
4415,"SHM Stays Great for long term stays & Short Stays, 15 min drive to City Centre & Airport 2 min walk to Shops and Train Station",Superior King Suite,NO,YES,"₹ 5,732",,,,
4416,Stay Inns,Standard Suite,YES,NO,"₹ 10,122",,,,
4417,Corporate Stay - 4 Bedroom in Birmingham,Four-Bedroom House,YES,NO,"₹ 18,559",,,,
4418,easyHotel Birmingham,Double Room - No Window,YES,YES,"₹ 9,804",,,,
4419,THE LIMES Guest House,Budget Double Room,YES,YES,"₹ 3,538",,,,
4420,Beautiful 1 bed apartment,One-Bedroom Apartment,NO,YES,"₹ 6,741",,,,
4421,Naps Inn,One-Bedroom Apartment,YES,NO,"₹ 9,007",,,,
4422,Belmont Hotel,Double Room with Private Bathroom,YES,NO,"₹ 6,571",,,,
4423,Penthouse Noir; VIP/Luxe Stay Birmingham City Centre,Two-Bedroom Apartment,YES,YES,"₹ 22,259",,,,
4424,Saint Pauls House,Standard Double Room,YES,YES,"₹ 15,163",,,,
4425,Harborne Haven: Cozy Studio & Kitchenette,One-Bedroom Apartment,NO,YES,"₹ 7,105",,,,
4426,Luxury 9ine SUPER BEAUTIFUL JACUZZI APARTMENT WITH BALCONY,One-Bedroom Apartment,NO,YES,"₹ 22,037",,,,
4427,"Cosy, comfy studio with Netflix",One-Bedroom Apartment,YES,NO,"₹ 5,186",,,,
4428,"2 Bed Apartment, Free Parking In Birmingham!",One-Bedroom Apartment,YES,NO,"₹ 9,411",,,,
4429,The Kingstanding Inn,Double Room,YES,YES,"₹ 5,560",,,,
4430,Aston Apartments,One-Bedroom Apartment,YES,YES,"₹ 11,092",,,,
4431,Hagley Hotel,Double Room,NO,YES,"₹ 5,054",,,,
4432,Linday Lodge,Double Room with Shared Bathroom,NO,YES,"₹ 5,004",,,,
4433,Ladder Guest Stays Birmingham,Deluxe Double Room,YES,NO,"₹ 3,740",,,,
4434,Modern house in City Centre,Three-Bedroom House,YES,NO,"₹ 21,835",,,,
4435,Horse Fair Apartments in Birmingham City Centre by HF Group,One-Bedroom Apartment,YES,YES,"₹ 7,076",,,,
4436,"Quality City Birmingham- 4 Bed City Centre House, Sleeps 8",Four-Bedroom House,YES,YES,"₹ 18,086",,,,
4437,Frederick Street Townhouse,Superior Double Room,NO,YES,"₹ 14,051",,,,
4438,Quality City Birmingham - Florence Street,Two-Bedroom Apartment,NO,YES,"₹ 15,466",,,,
4439,Dream Ensuite Rooms,Deluxe Double Room,YES,NO,"₹ 7,076",,,,
4440,OYO Adnans Hotel,Standard Double Room,YES,NO,"₹ 8,082",,,,
4441,THE PORT House,Budget Double Room,YES,YES,"₹ 3,841",,,,
4442,Premium ArcadianPlus Two Bedroom Apart - En Suite - Balcony - Brand New,Deluxe Apartment,YES,YES,"₹ 15,042",,,,
4443,Eighty Four,Deluxe Studio,NO,YES,"₹ 10,563",,,,
4444,Comfort Stay Apartments,One-Bedroom Apartment,NO,YES,"₹ 5,762",,,,
4445,Town House in Central Birmingham,Three-Bedroom House,YES,NO,"₹ 12,130",,,,
